row.id,Scoring,Start,Start_Frame,Stop,Stop_Frame,duration,Subject,Behaviour,Value,trial
0,goggle_MaP_Tenya_2021-11-16 11-02-45,1051.583333,63095,1052.616667,63157,1.033333333,Tenya,Manipulation check ,Manipulation check transparent,
1,goggle_MaP_Tenya_2021-11-16 11-02-45,1053.4,63204,1098.866667,65932,45.46666667,Tenya,Manipulation check ,Manipulation check transparent,
2,goggle_MaP_Tenya_2021-11-16 11-02-45,1102.3,66138,1144.183333,68651,41.88333333,Tenya,Manipulation check ,Manipulation check transparent,
3,goggle_MaP_Tenya_2021-11-16 11-02-45,1260.25,75615,1313.75,78825,53.5,Tenya,Trial ,1,1
4,goggle_MaP_Tenya_2021-11-16 11-02-45,1268.216667,76093,,,,Tenya,First look,First look opaque,1
5,goggle_MaP_Tenya_2021-11-16 11-02-45,1268.216667,76093,1269.683333,76181,1.466666667,Tenya,Looking target,Duration looking opaque,1
6,goggle_MaP_Tenya_2021-11-16 11-02-45,1283.483333,77009,1283.833333,77030,0.35,Tenya,Looking target,Duration looking opaque,1
7,goggle_MaP_Tenya_2021-11-16 11-02-45,1284.683333,77081,,,,Tenya,First target choice,First choice opaque,1
8,goggle_MaP_Tenya_2021-11-16 11-02-45,1294.666667,77680,,,,Tenya,Inspection behind screen,Inspection behind opaque,1
9,goggle_MaP_Tenya_2021-11-16 11-02-45,1404.983333,84299,1453.783333,87227,48.8,Tenya,Trial ,2,2
10,goggle_MaP_Tenya_2021-11-16 11-02-45,1406.516667,84391,,,,Tenya,First look,First look opaque,2
11,goggle_MaP_Tenya_2021-11-16 11-02-45,1406.516667,84391,1408,84480,1.483333333,Tenya,Looking target,Duration looking opaque,2
12,goggle_MaP_Tenya_2021-11-16 11-02-45,1423.483333,85409,1423.983333,85439,0.5,Tenya,Looking target,Duration looking opaque,2
13,goggle_MaP_Tenya_2021-11-16 11-02-45,1425.233333,85514,,,,Tenya,First target choice,First choice opaque,2
14,goggle_MaP_Tenya_2021-11-16 11-02-45,1435.966667,86158,,,,Tenya,Inspection behind screen,Inspection behind opaque,2
15,goggle_MaP_Tenya_2021-11-16 11-02-45,1536.666667,92200,1583.2,94992,46.53333333,Tenya,Trial ,3,3
16,goggle_MaP_Tenya_2021-11-16 11-02-45,1547.933333,92876,,,,Tenya,First look,First look opaque,3
17,goggle_MaP_Tenya_2021-11-16 11-02-45,1547.933333,92876,1549.3,92958,1.366666667,Tenya,Looking target,Duration looking opaque,3
18,goggle_MaP_Tenya_2021-11-16 11-02-45,1551.816667,93109,1552.233333,93134,0.416666667,Tenya,Looking target,Duration looking transparent,3
19,goggle_MaP_Tenya_2021-11-16 11-02-45,1553.166667,93190,,,,Tenya,First target choice,First choice transparent,3
20,goggle_MaP_Tenya_2021-11-16 11-02-45,1572.4,94344,,,,Tenya,Inspection behind screen,Inspection behind opaque,3
21,goggle_MaP_Tenya_2021-11-16 11-02-45,1651.966667,99118,1697.4,101844,45.43333333,Tenya,Trial ,4,4
22,goggle_MaP_Tenya_2021-11-16 11-02-45,1657.233333,99434,,,,Tenya,First look,First look opaque,4
23,goggle_MaP_Tenya_2021-11-16 11-02-45,1657.233333,99434,1658.383333,99503,1.15,Tenya,Looking target,Duration looking opaque,4
24,goggle_MaP_Tenya_2021-11-16 11-02-45,1667.166667,100030,1667.45,100047,0.283333333,Tenya,Looking target,Duration looking opaque,4
25,goggle_MaP_Tenya_2021-11-16 11-02-45,1668.533333,100112,,,,Tenya,First target choice,First choice opaque,4
26,goggle_MaP_Toulouse_2021-11-16 11-49-10,740.2166667,44413,748.9166667,44935,8.7,Toulouse,Manipulation check ,Manipulation check transparent,
27,goggle_MaP_Toulouse_2021-11-16 11-49-10,873.4666667,52408,916.5,54990,43.03333333,Toulouse,Trial ,1,1
28,goggle_MaP_Toulouse_2021-11-16 11-49-10,875.55,52533,,,,Toulouse,First look,First look transparent,1
29,goggle_MaP_Toulouse_2021-11-16 11-49-10,875.55,52533,876.4833333,52589,0.933333333,Toulouse,Looking target,Duration looking transparent,1
30,goggle_MaP_Toulouse_2021-11-16 11-49-10,879.8,52788,882.15,52929,2.35,Toulouse,Looking target,Duration looking opaque,1
31,goggle_MaP_Toulouse_2021-11-16 11-49-10,889.0833333,53345,,,,Toulouse,First target choice,First choice transparent,1
32,goggle_MaP_Toulouse_2021-11-16 11-49-10,902.2166667,54133,,,,Toulouse,Inspection behind screen,Inspection behind opaque,1
33,goggle_MaP_Toulouse_2021-11-16 11-49-10,1000.2,60012,1045.583333,62735,45.38333333,Toulouse,Trial ,2,2
34,goggle_MaP_Toulouse_2021-11-16 11-49-10,1000.583333,60035,1001.016667,60061,0.433333333,Toulouse,Looking target,Duration looking transparent,2
35,goggle_MaP_Toulouse_2021-11-16 11-49-10,1000.65,60039,,,,Toulouse,First look,First look transparent,2
36,goggle_MaP_Toulouse_2021-11-16 11-49-10,1001.566667,60094,1002.183333,60131,0.616666667,Toulouse,Looking target,Duration looking opaque,2
37,goggle_MaP_Toulouse_2021-11-16 11-49-10,1004.1,60246,1005.016667,60301,0.916666667,Toulouse,Looking target,Duration looking transparent,2
38,goggle_MaP_Toulouse_2021-11-16 11-49-10,1008.933333,60536,1010.1,60606,1.166666667,Toulouse,Looking target,Duration looking opaque,2
39,goggle_MaP_Toulouse_2021-11-16 11-49-10,1011.133333,60668,1011.566667,60694,0.433333333,Toulouse,Looking target,Duration looking transparent,2
40,goggle_MaP_Toulouse_2021-11-16 11-49-10,1012.283333,60737,1012.95,60777,0.666666667,Toulouse,Looking target,Duration looking opaque,2
41,goggle_MaP_Toulouse_2021-11-16 11-49-10,1014.2,60852,1014.416667,60865,0.216666667,Toulouse,Looking target,Duration looking transparent,2
42,goggle_MaP_Toulouse_2021-11-16 11-49-10,1015.65,60939,,,,Toulouse,First target choice,First choice transparent,2
43,goggle_MaP_Toulouse_2021-11-16 11-49-10,1020.866667,61252,,,,Toulouse,Inspection behind screen,Inspection behind transparent,2
44,goggle_MaP_Toulouse_2021-11-16 11-49-10,1121.55,67293,1169.4,70164,47.85,Toulouse,Trial ,3,3
45,goggle_MaP_Toulouse_2021-11-16 11-49-10,1121.6,67296,,,,Toulouse,First look,First look transparent,3
46,goggle_MaP_Toulouse_2021-11-16 11-49-10,1121.6,67296,1121.85,67311,0.25,Toulouse,Looking target,Duration looking transparent,3
47,goggle_MaP_Toulouse_2021-11-16 11-49-10,1122.233333,67334,1122.816667,67369,0.583333333,Toulouse,Looking target,Duration looking opaque,3
48,goggle_MaP_Toulouse_2021-11-16 11-49-10,1136.033333,68162,1136.816667,68209,0.783333333,Toulouse,Looking target,Duration looking transparent,3
49,goggle_MaP_Toulouse_2021-11-16 11-49-10,1137.033333,68222,1137.183333,68231,0.15,Toulouse,Looking target,Duration looking transparent,3
50,goggle_MaP_Toulouse_2021-11-16 11-49-10,1137.883333,68273,,,,Toulouse,First target choice,First choice transparent,3
51,goggle_MaP_Toulouse_2021-11-16 11-49-10,1144.383333,68663,,,,Toulouse,Inspection behind screen,Inspection behind transparent,3
52,goggle_MaP_Toulouse_2021-11-16 11-49-10,1251.283333,75077,1297.066667,77824,45.78333333,Toulouse,Trial ,4,4
53,goggle_MaP_Toulouse_2021-11-16 11-49-10,1251.533333,75092,,,,Toulouse,First look,First look transparent,4
54,goggle_MaP_Toulouse_2021-11-16 11-49-10,1251.533333,75092,1251.833333,75110,0.3,Toulouse,Looking target,Duration looking transparent,4
55,goggle_MaP_Toulouse_2021-11-16 11-49-10,1258.733333,75524,1259.583333,75575,0.85,Toulouse,Looking target,Duration looking opaque,4
56,goggle_MaP_Toulouse_2021-11-16 11-49-10,1262.016667,75721,1263.266667,75796,1.25,Toulouse,Looking target,Duration looking transparent,4
57,goggle_MaP_Toulouse_2021-11-16 11-49-10,1267.233333,76034,,,,Toulouse,First target choice,First choice transparent,4
58,goggle_MaP_Toulouse_2021-11-16 11-49-10,1273.55,76413,,,,Toulouse,Inspection behind screen,Inspection behind transparent,4
59,goggle_MaP_Ronja7_2021-11-17 12-23-39,663.9166667,39835,666.1666667,39970,2.25,Ronja7,Manipulation check ,Manipulation check opaque,
60,goggle_MaP_Ronja7_2021-11-17 12-23-39,686.7666667,41206,692.35,41541,5.583333333,Ronja7,Manipulation check ,Manipulation check opaque,
61,goggle_MaP_Ronja7_2021-11-17 12-23-39,693.7833333,41627,714.75,42885,20.96666667,Ronja7,Manipulation check ,Manipulation check transparent,
62,goggle_MaP_Ronja7_2021-11-17 12-23-39,914.1333333,54848,957.2833333,57437,43.15,Ronja7,Trial ,1,1
63,goggle_MaP_Ronja7_2021-11-17 12-23-39,930.9,55854,,,,Ronja7,Inspection behind screen,Inspection behind transparent,1
64,goggle_MaP_Ronja7_2021-11-17 12-23-39,944.6,56676,,,,Ronja7,First target choice,First choice transparent,1
65,goggle_MaP_Ronja7_2021-11-17 12-23-39,1043.666667,62620,1091.783333,65507,48.11666667,Ronja7,Trial ,2,2
66,goggle_MaP_Ronja7_2021-11-17 12-23-39,1069.95,64197,,,,Ronja7,Inspection behind screen,Inspection behind opaque,2
67,goggle_MaP_Ronja7_2021-11-17 12-23-39,1086.65,65199,,,,Ronja7,First target choice,First choice transparent,2
68,goggle_MaP_Ronja7_2021-11-17 12-23-39,1193.133333,71588,1238.366667,74302,45.23333333,Ronja7,Trial ,3,3
69,goggle_MaP_Ronja7_2021-11-17 12-23-39,1200.033333,72002,,,,Ronja7,First look,First look transparent,3
70,goggle_MaP_Ronja7_2021-11-17 12-23-39,1200.033333,72002,1205.9,72354,5.866666667,Ronja7,Looking target,Duration looking transparent,3
71,goggle_MaP_Ronja7_2021-11-17 12-23-39,1208.55,72513,1208.75,72525,0.2,Ronja7,Looking target,Duration looking transparent,3
72,goggle_MaP_Ronja7_2021-11-17 12-23-39,1209.733333,72584,,,,Ronja7,First target choice,First choice transparent,3
73,goggle_MaP_Ronja7_2021-11-17 12-23-39,1222.016667,73321,,,,Ronja7,Inspection behind screen,Inspection behind opaque,3
74,goggle_MaP_Ronja7_2021-11-17 12-23-39,1300.5,78030,1344.166667,80650,43.66666667,Ronja7,Trial ,4,4
75,goggle_MaP_Ronja7_2021-11-17 12-23-39,1305.516667,78331,,,,Ronja7,First look,First look transparent,4
76,goggle_MaP_Ronja7_2021-11-17 12-23-39,1305.516667,78331,1308.25,78495,2.733333333,Ronja7,Looking target,Duration looking transparent,4
77,goggle_MaP_Ronja7_2021-11-17 12-23-39,1316.6,78996,,,,Ronja7,First target choice,First choice transparent,4
78,goggle_MaP_Ronja7_2021-11-17 12-23-39,1324.266667,79456,,,,Ronja7,Inspection behind screen,Inspection behind opaque,4
79,goggle_MaP_Sunny10_2021-11-17 16-37-05,678.5833333,40715,684.0833333,41045,5.5,Sunny10,Manipulation check ,Manipulation check transparent,
80,goggle_MaP_Sunny10_2021-11-17 16-37-05,689.4,41364,690.0833333,41405,0.683333333,Sunny10,Manipulation check ,Manipulation check opaque,
81,goggle_MaP_Sunny10_2021-11-17 16-37-05,696.75,41805,705.2166667,42313,8.466666667,Sunny10,Manipulation check ,Manipulation check transparent,
82,goggle_MaP_Sunny10_2021-11-17 16-37-05,733.5333333,44012,748.2833333,44897,14.75,Sunny10,Manipulation check ,Manipulation check transparent,
83,goggle_MaP_Sunny10_2021-11-17 16-37-05,750.5333333,45032,753.8666667,45232,3.333333333,Sunny10,Manipulation check ,Manipulation check transparent,
84,goggle_MaP_Sunny10_2021-11-17 16-37-05,885.7,53142,931.3333333,55880,45.63333333,Sunny10,Trial ,1,1
85,goggle_MaP_Sunny10_2021-11-17 16-37-05,901.7166667,54103,,,,Sunny10,First look,First look opaque,1
86,goggle_MaP_Sunny10_2021-11-17 16-37-05,901.7166667,54103,902.35,54141,0.633333333,Sunny10,Looking target,Duration looking opaque,1
87,goggle_MaP_Sunny10_2021-11-17 16-37-05,903.9666667,54238,,,,Sunny10,First target choice,First choice opaque,1
88,goggle_MaP_Sunny10_2021-11-17 16-37-05,912.3666667,54742,,,,Sunny10,Inspection behind screen,Inspection behind transparent,1
89,goggle_MaP_Sunny10_2021-11-17 16-37-05,1011.083333,60665,1065.7,63942,54.61666667,Sunny10,Trial ,2,2
90,goggle_MaP_Sunny10_2021-11-17 16-37-05,1026.966667,61618,,,,Sunny10,First look,First look opaque,2
91,goggle_MaP_Sunny10_2021-11-17 16-37-05,1026.966667,61618,1027.516667,61651,0.55,Sunny10,Looking target,Duration looking opaque,2
92,goggle_MaP_Sunny10_2021-11-17 16-37-05,1029.316667,61759,,,,Sunny10,First target choice,First choice opaque,2
93,goggle_MaP_Sunny10_2021-11-17 16-37-05,1035.7,62142,,,,Sunny10,Inspection behind screen,Inspection behind transparent,2
94,goggle_MaP_Sunny10_2021-11-17 16-37-05,1140.783333,68447,1184.683333,71081,43.9,Sunny10,Trial ,3,3
95,goggle_MaP_Sunny10_2021-11-17 16-37-05,1148.733333,68924,,,,Sunny10,First look,First look opaque,3
96,goggle_MaP_Sunny10_2021-11-17 16-37-05,1148.733333,68924,1153.933333,69236,5.2,Sunny10,Looking target,Duration looking opaque,3
97,goggle_MaP_Sunny10_2021-11-17 16-37-05,1155.833333,69350,1156.616667,69397,0.783333333,Sunny10,Looking target,Duration looking opaque,3
98,goggle_MaP_Sunny10_2021-11-17 16-37-05,1157.766667,69466,,,,Sunny10,First target choice,First choice opaque,3
99,goggle_MaP_Sunny10_2021-11-17 16-37-05,1165.45,69927,,,,Sunny10,Inspection behind screen,Inspection behind transparent,3
100,goggle_MaP_Sunny10_2021-11-17 16-37-05,1254.416667,75265,1299.8,77988,45.38333333,Sunny10,Trial ,4,4
101,goggle_MaP_Sunny10_2021-11-17 16-37-05,1261.033333,75662,,,,Sunny10,First look,First look opaque,4
102,goggle_MaP_Sunny10_2021-11-17 16-37-05,1261.033333,75662,1267.1,76026,6.066666667,Sunny10,Looking target,Duration looking opaque,4
103,goggle_MaP_Sunny10_2021-11-17 16-37-05,1269.566667,76174,1269.766667,76186,0.2,Sunny10,Looking target,Duration looking opaque,4
104,goggle_MaP_Sunny10_2021-11-17 16-37-05,1271.366667,76282,,,,Sunny10,First target choice,First choice opaque,4
105,goggle_MaP_Riu_2021-11-18 16-06-53,571.4666667,34288,594.15,35649,22.68333333,Riu,Manipulation check ,Manipulation check transparent,
106,goggle_MaP_Riu_2021-11-18 16-06-53,594.8833333,35693,642.3833333,38543,47.5,Riu,Manipulation check ,Manipulation check transparent,
107,goggle_MaP_Riu_2021-11-18 16-06-53,850.75,51045,895.25,53715,44.5,Riu,Trial ,1,1
108,goggle_MaP_Riu_2021-11-18 16-06-53,856.8166667,51409,,,,Riu,First look,First look opaque,1
109,goggle_MaP_Riu_2021-11-18 16-06-53,856.8166667,51409,858.05,51483,1.233333333,Riu,Looking target,Duration looking opaque,1
110,goggle_MaP_Riu_2021-11-18 16-06-53,866.2833333,51977,866.6166667,51997,0.333333333,Riu,Looking target,Duration looking opaque,1
111,goggle_MaP_Riu_2021-11-18 16-06-53,867.3666667,52042,,,,Riu,First target choice,First choice opaque,1
112,goggle_MaP_Riu_2021-11-18 16-06-53,871.2833333,52277,,,,Riu,Inspection behind screen,Inspection behind transparent,1
113,goggle_MaP_Riu_2021-11-18 16-06-53,972.4333333,58346,1017.216667,61033,44.78333333,Riu,Trial ,2,2
114,goggle_MaP_Riu_2021-11-18 16-06-53,989.7,59382,,,,Riu,First target choice,First choice opaque,2
115,goggle_MaP_Riu_2021-11-18 16-06-53,992.5333333,59552,,,,Riu,Inspection behind screen,Inspection behind opaque,2
116,goggle_MaP_Riu_2021-11-18 16-06-53,1090.15,65409,1137.616667,68257,47.46666667,Riu,Trial ,3,3
